day,opened,opened_external,opened_owner,opened_contributor,unique_external_authors,closed_completed,closed_not_planned,closed_duplicate,closed_reopened
2025-09-09,1,1,0,0,1,0,0,0,0
2025-09-16,0,0,0,0,0,1,0,0,0
2025-10-14,3,3,0,0,1,0,0,0,0
2025-10-23,4,4,0,0,4,2,3,0,0
2025-10-24,1,1,0,0,1,1,0,0,0
2025-10-25,4,4,0,0,3,5,0,1,0
2025-10-26,1,1,0,0,1,0,0,0,0
2025-10-27,3,3,0,0,2,2,0,0,0
2025-10-28,2,1,0,1,1,1,0,0,0
2025-10-31,1,1,0,0,1,2,0,0,0
2025-11-02,0,0,0,0,0,2,0,0,0
2025-11-03,1,1,0,0,1,0,0,0,0
2025-11-04,5,5,0,0,4,5,0,0,0
2025-11-05,4,4,0,0,3,3,0,0,0
2025-11-06,3,1,1,1,1,5,0,0,0
2025-11-07,1,1,0,0,1,1,0,0,0
2025-11-08,1,1,0,0,1,0,0,0,0
2025-11-09,4,2,0,2,1,1,0,0,0
2025-11-10,6,4,2,0,4,9,0,0,0
2025-11-11,1,1,0,0,1,1,0,0,0
2025-11-12,1,0,1,0,0,0,0,0,0
2025-11-13,3,0,3,0,0,0,1,0,0
2025-11-14,2,2,0,0,2,2,0,0,0
2025-11-15,2,2,0,0,1,4,0,0,0
2025-11-16,1,1,0,0,1,0,0,0,0
2025-11-17,5,2,3,0,2,5,0,0,0
2025-11-18,2,1,0,1,1,1,0,0,0
2025-11-19,2,0,2,0,0,1,0,0,0
2025-11-20,1,1,0,0,1,0,0,0,0
2025-11-21,0,0,0,0,0,1,1,0,0
2025-11-22,1,0,1,0,0,0,1,0,0
2025-12-01,2,2,0,0,1,5,1,0,0
2025-12-03,1,1,0,0,1,1,0,0,0
2025-12-04,1,1,0,0,1,1,0,0,0
2025-12-05,3,2,1,0,2,0,0,0,0
2025-12-06,0,0,0,0,0,1,0,0,0
2025-12-07,1,1,0,0,1,1,1,0,0
2025-12-08,6,6,0,0,6,4,0,0,0
2025-12-09,7,6,0,1,6,7,0,0,0
2025-12-10,14,14,0,0,11,6,0,0,0
2025-12-11,12,9,2,1,9,5,0,0,0
2025-12-12,5,4,1,0,4,3,0,1,0
2025-12-13,18,11,0,7,9,32,2,0,0
2025-12-14,11,10,1,0,10,10,0,0,0
2025-12-15,9,9,0,0,9,3,0,0,0
2025-12-16,11,11,0,0,8,17,0,1,0
2025-12-17,10,9,0,1,9,9,0,0,0
2025-12-18,4,3,1,0,3,5,0,0,0
2025-12-19,5,5,0,0,5,3,0,0,0
2025-12-21,7,7,0,0,5,2,0,0,0
2025-12-22,2,2,0,0,2,0,0,0,0
2025-12-23,8,8,0,0,8,6,0,0,0
2025-12-24,3,3,0,0,3,4,0,0,0
2025-12-25,5,5,0,0,5,15,0,0,0
2025-12-26,12,12,0,0,8,3,0,0,0
2025-12-27,2,2,0,0,2,9,0,0,0
2025-12-28,3,3,0,0,3,3,0,0,0
2025-12-29,7,7,0,0,6,2,0,0,0
2025-12-30,5,5,0,0,4,4,0,0,0
2025-12-31,6,6,0,0,6,6,0,0,0
2026-01-01,7,7,0,0,5,0,0,0,0
2026-01-02,1,1,0,0,1,0,0,0,0
2026-01-03,4,4,0,0,4,0,0,0,0
2026-01-04,7,7,0,0,7,23,0,0,0
2026-01-05,4,4,0,0,3,4,0,0,0
2026-01-06,22,21,0,1,15,7,0,0,0
2026-01-07,14,14,0,0,13,3,0,0,0
2026-01-08,12,12,0,0,11,0,0,0,0
2026-01-09,15,14,0,1,11,0,0,0,0
2026-01-10,7,5,1,1,5,44,0,0,0
2026-01-11,11,10,0,1,9,0,0,0,0
2026-01-12,9,8,0,1,8,1,0,0,0
2026-01-13,1,1,0,0,1,0,0,0,0
2026-01-14,6,6,0,0,6,1,0,0,0
2026-01-15,5,5,0,0,5,2,0,0,0
2026-01-16,7,7,0,0,7,0,0,0,0
2026-01-17,6,5,0,1,5,1,0,0,0
2026-01-18,5,4,1,0,4,1,0,0,0
2026-01-19,6,5,0,1,5,2,0,0,0
2026-01-20,3,3,0,0,3,1,0,0,0
2026-01-21,1,1,0,0,1,0,0,0,0
2026-01-22,2,1,0,1,1,1,0,0,0
2026-01-23,8,8,0,0,8,1,0,0,0
2026-01-24,2,2,0,0,2,0,0,0,0
2026-01-25,6,6,0,0,4,1,0,0,0
2026-01-26,7,6,0,1,5,2,0,0,0
2026-01-27,2,2,0,0,2,0,0,0,0
2026-01-28,6,6,0,0,6,2,0,0,0
2026-01-29,2,2,0,0,2,1,0,0,0
2026-01-30,3,3,0,0,3,1,0,0,0
2026-01-31,1,1,0,0,1,0,0,0,0
2026-02-01,4,4,0,0,3,1,0,0,0
2026-02-02,10,9,0,1,9,2,0,0,0
2026-02-03,9,7,0,2,7,2,0,0,0
2026-02-04,12,11,0,1,11,1,0,0,0
2026-02-05,21,17,0,4,15,12,0,0,0
2026-02-06,12,12,0,0,12,12,0,0,0
2026-02-07,6,5,1,0,5,1,0,0,0
2026-02-08,9,6,0,3,3,30,55,0,0
2026-02-09,11,10,0,1,10,2,0,0,0
2026-02-10,6,5,0,1,5,41,0,1,0
