day,stars,throwaway_pct,fresh_30d_pct,fresh_7d_pct,fresh_1d_pct,fresh_1h_pct,bot_pattern_pct
2025-09-09,1,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-14,1,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-22,4,0.0,0.0,0.0,0.0,0.0,25.0
2025-09-23,2,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-24,1,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-28,1,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-01,2,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-04,1,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-08,1,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-13,2,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-19,2,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-21,1,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-22,1,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-23,131,2.29,0.76,0.76,0.0,0.0,1.53
2025-10-24,35,5.71,0.0,0.0,0.0,0.0,0.0
2025-10-25,28,3.57,0.0,0.0,0.0,0.0,3.57
2025-10-26,20,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-27,24,12.5,0.0,0.0,0.0,0.0,4.17
2025-10-28,19,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-29,7,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-30,5,20.0,0.0,0.0,0.0,0.0,20.0
2025-10-31,3,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-01,7,14.29,0.0,0.0,0.0,0.0,0.0
2025-11-03,5,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-04,23,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-05,8,12.5,0.0,0.0,0.0,0.0,12.5
2025-11-06,6,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-07,4,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-08,8,0.0,25.0,12.5,0.0,0.0,0.0
2025-11-09,8,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-10,11,0.0,0.0,0.0,0.0,0.0,18.18
2025-11-11,8,0.0,0.0,0.0,0.0,0.0,12.5
2025-11-12,11,9.09,9.09,0.0,0.0,0.0,0.0
2025-11-13,8,0.0,0.0,0.0,0.0,0.0,12.5
2025-11-14,3,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-15,8,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-16,3,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-17,7,14.29,0.0,0.0,0.0,0.0,14.29
2025-11-18,3,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-19,3,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-20,1,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-21,4,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-22,5,0.0,0.0,0.0,0.0,0.0,20.0
2025-11-23,2,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-24,4,25.0,0.0,0.0,0.0,0.0,0.0
2025-11-25,1,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-26,1,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-27,3,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-28,3,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-29,2,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-30,2,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-01,5,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-02,4,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-03,10,0.0,0.0,0.0,0.0,0.0,0.0
